id,lesson_number,title,content,example_one,example_two,supporting_content,jlpt_level,category,related_grammar_references,related_kanji_references,related_vocab_references,difficulty_order,unlocks_content,origin
g001,1,"は — The Topic Particle","は marks the topic of a sentence — what the sentence is about. It is pronounced 'wa' in this grammatical role, not 'ha'. Japanese conversation frequently omits the subject when it is understood from context, so は carries the weight of establishing what is being discussed. It is not the same as が, which marks the grammatical subject and emphasises it.","私は学生です。(わたしはがくせいです。) — I am a student.","猫は動物です。(ねこはどうぶつです。) — A cat is an animal.","は can also signal contrast between two things: 魚は食べます。(さかなはたべます。) — As for fish, I will eat it (implying I will not eat something else).",N5,particles,,,,1,g002,user-created
g002,2,"の — Connection of Nouns","の connects nouns to show possession or specificity. It works like the English 's or the word 'of', but in Japanese it always flows from the possessor to the thing possessed. You can chain multiple nouns with の for greater specificity. Japanese has no direct equivalent of 'of' as a standalone word — the relationship is built into の itself.","たけしさんの車 (たけしさんのくるま) — Takeshi's car","日本語の本 (にほんごのほん) — A Japanese-language book","Reversing の changes the meaning entirely. 車のたけし (くるまのたけし) would produce a nonsensical phrase — something like 'Takeshi made of car'.",N5,particles,,,,2,g003,user-created
g003,3,"も — The Particle for Similar Qualities","も replaces は or が after a noun to express 'also' or 'too'. It indicates that the new subject shares the same quality or situation as something already mentioned in the conversation.","田中さんは学生です。山田さんも学生です。(たなかさんはがくせいです。やまださんもがくせいです。) — Mr. Tanaka is a student. Ms. Yamada is also a student.","これも高いです。(これもたかいです。) — This is expensive too.","も replaces は or が entirely. Never use はも or がも together. The particle being replaced determines the position of も in the sentence.",N5,particles,,,,3,g004,user-created
g004,4,"か — Question Sentences with the Particle か","か added to the end of any statement turns it into a yes-or-no question — no word order change is needed. か can also combine with the question word なん to form open questions. なん typically appears before ですか or before a counter word such as じ or さい. The alternate form なに appears before a particle instead of a counter.","これは本ですか。(これはほんですか。) — Is this a book?","なんじですか。(なんじですか。) — What time is it?","In casual speech, か is often replaced with rising intonation. In polite registers, always keep か at the end of the sentence.",N5,particles,,,,4,g005,user-created
g005,5,"が — The Subject Marker Particle","が marks the grammatical subject of a sentence. While は marks the topic, が emphasises the subject itself — especially for new information, answers to who or what questions, and in specific grammar patterns such as existence and desire. The key distinction is: は sets a topic the speaker wants to discuss; が pinpoints exactly who or what performs or receives an action.","誰が来ましたか。田中さんが来ました。(だれがきましたか。たなかさんがきました。) — Who came? Tanaka came.","猫がいます。(ねこがいます。) — There is a cat.","が is required with certain adjectives expressing desire, ability, and preferences: 水が飲みたい (みずがのみたい) — I want to drink water. Learning when が replaces は will deepen naturally with exposure.",N5,particles,,,,5,g006,ai-created
g006,6,"です — Ending Sentences with Desu","です ends a sentence in the polite present tense to assert a state of being — equivalent to 'is', 'am', or 'are' in English. It follows nouns and な-adjectives. です itself carries no literal content; it is a copula that makes the sentence polite and complete.","私は先生です。(わたしはせんせいです。) — I am a teacher.","今日は月曜日です。(きょうはげつようびです。) — Today is Monday.","です does not conjugate verbs — it only follows nouns and な-adjectives. For verbs, use the verb's own polite ending ます.",N5,sentence-structure,,,,6,g007,user-created
g007,7,"Negative Forms of です","There are multiple negative forms of です depending on the register you need. じゃないです is the casual spoken form. じゃありません is the conservative spoken form. ではありません is the formal written form. All three mean 'is not'.","これは本じゃないです。(これはほんじゃないです。) — This is not a book.","田中さんは学生ではありません。(たなかさんはがくせいではありません。) — Mr. Tanaka is not a student.","じゃ is a spoken contraction of では (dewa). In very formal writing or official documents, always use ではありません.",N5,sentence-structure,,,,7,g008,user-created
g008,8,"Seeking Confirmation with ~ね","ね is a sentence-ending particle that seeks agreement or confirmation from the listener — similar to 'right?', 'isn't it?', or 'don't you think?' in English. It softens a statement and invites the listener to share the observation. It can also express gentle shared emotion.","今日は暑いですね。(きょうはあついですね。) — It's hot today, isn't it?","このケーキ、おいしいですね。(このけーき、おいしいですね。) — This cake is delicious, isn't it?","ね is very common in everyday conversation. Overusing it can make you sound uncertain, so reserve it for when you genuinely want to check understanding or share a feeling.",N5,sentence-structure,,,,8,g009,user-title-ai-content
g009,9,"Expressing Confidence with ~よ","よ is a sentence-ending particle that asserts information the speaker believes the listener does not yet know. It conveys confidence and emphasis — similar to 'I'm telling you' or a firm exclamation point. Unlike ね, which seeks agreement, よ pushes new information toward the listener.","このお店はおいしいですよ。(このおみせはおいしいですよ。) — This restaurant is good, I'm telling you.","もう九時ですよ。(もうくじですよ。) — It's already 9 o'clock, you know.","よ and ね can be combined as よね, which asserts while still seeking mild confirmation: おいしいですよね。— It's delicious, right? (I think so and expect you'll agree.)",N5,sentence-structure,,,,9,g010,user-title-ai-content
g010,10,"これ・それ・あれ・どれ — This / That / That Over There / Which","These are standalone pointer words used with は to reference an object without naming it. これ refers to an object close to the speaker. それ refers to an object close to the listener. あれ refers to an object far from both. どれ asks 'which one?' and is always used in questions. Do not use these to refer to people nearby — it is considered very impolite.","これは何ですか。(これはなんですか。) — What is this?","あれは田中さんの車です。(あれはたなかさんのくるまです。) — That over there is Tanaka's car.","どれ always appears in a question sentence: どれがあなたの傘ですか。(どれがあなたのかさですか。) — Which one is your umbrella?",N5,pointer-words,,,,10,g011,user-created
